name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"CS Design Group, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=862428,http://www.csdesigngrp.com,Greater New York City Area,Mechanical or Industrial Engineering,1 employees on LinkedIn,862428
Villency Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=15177748,http://www.villency.com,Greater New York City Area,Design,5 employees on LinkedIn,15177748
"Integrated Design Systems, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2761354,http://www.idsys.com/,Greater New York City Area,Design,3 employees on LinkedIn,2761354
Airspace Design Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=10633066,http://www.airspace.nyc,United States,Design,3 employees on LinkedIn,10633066
Red Dog Run Design,https://www.linkedin.com/sales/accounts/insights?companyId=2215741,http://www.reddogrun.com,"Orlando, Florida Area",Design,1 employees on LinkedIn,2215741
"PENCIL | Design, Visualization,",https://www.linkedin.com/sales/accounts/insights?companyId=3119948,http://www.pencilviz.com,"Buffalo/Niagara, New York Area",Design,1 employees on LinkedIn,3119948
Probasco Design,https://www.linkedin.com/sales/accounts/insights?companyId=3929400,http://www.probascodesign.com,,Mechanical or Industrial Engineering,3 employees on LinkedIn,3929400
Stapleton Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=1166583,http://www.stapletondesigngroup.com,Greater Denver Area,Design,3 employees on LinkedIn,1166583
"Garrett Heilbrun Technology Partners, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=10086812,http://www.garrettheilbrun.com,Dallas/Fort Worth Area,Mechanical or Industrial Engineering,4 employees on LinkedIn,10086812
Vaninetti Design,https://www.linkedin.com/sales/accounts/insights?companyId=3017345,http://www.vaninetti.com,San Francisco Bay Area,Design,1 employees on LinkedIn,3017345
Tom Robbins Design,https://www.linkedin.com/sales/accounts/insights?companyId=1067175,http://www.customfaucets.com,San Francisco Bay Area,Design,0 employees on LinkedIn,1067175
Qualitative Design Research Group,https://www.linkedin.com/sales/accounts/insights?companyId=626454,,Greater St. Louis Area,Design,0 employees on LinkedIn,626454
Product Ventures,https://www.linkedin.com/sales/accounts/insights?companyId=247463,http://www.productventures.com,Greater New York City Area,Design,49 employees on LinkedIn,247463
Redpoint Studios,https://www.linkedin.com/sales/accounts/insights?companyId=290136,http://www.redpointstudios.com,Greater Boston Area,Design,1 employees on LinkedIn,290136
Elevation Lab,https://www.linkedin.com/sales/accounts/insights?companyId=371722,http://www.elevationlab.com/,"Portland, Oregon Area",Design,5 employees on LinkedIn,371722
"Secret Agent Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=423202,http://www.secretagentdesign.com,Greater Atlanta Area,Design,6 employees on LinkedIn,423202
Totem Products LLC,https://www.linkedin.com/sales/accounts/insights?companyId=2677745,http://www.TotemLLC.com,,Design,2 employees on LinkedIn,2677745
Form Factor,https://www.linkedin.com/sales/accounts/insights?companyId=4804797,http://designformfactor.com/,"Kansas City, Missouri Area",Design,6 employees on LinkedIn,4804797
Harbour Mechanical Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=5993843,http://www.harbourmech.com,,Mechanical or Industrial Engineering,10 employees on LinkedIn,5993843
"HALTER Design, LTD.",https://www.linkedin.com/sales/accounts/insights?companyId=2021813,http://www.halterdesign.com,United States,Design,4 employees on LinkedIn,2021813
lowercase collective llc,https://www.linkedin.com/sales/accounts/insights?companyId=1301087,http://www.lwrsf.com,United States,Design,3 employees on LinkedIn,1301087
Pixel And Timber,https://www.linkedin.com/sales/accounts/insights?companyId=16187961,http://www.pixelandtimber.com,"Cincinnati, Ohio Area",Design,3 employees on LinkedIn,16187961
LaunchLab Product Design,https://www.linkedin.com/sales/accounts/insights?companyId=5023998,http://www.launchlabdesign.com,Greater Atlanta Area,Design,0 employees on LinkedIn,5023998
William Adams Design,https://www.linkedin.com/sales/accounts/insights?companyId=1946855,http://www.williamadamsdesign.com,,Design,1 employees on LinkedIn,1946855
Bayard Design LLC,https://www.linkedin.com/sales/accounts/insights?companyId=10267233,http://www.bayarddesign.com,,Mechanical or Industrial Engineering,2 employees on LinkedIn,10267233
WhiteLight Design Inc,https://www.linkedin.com/sales/accounts/insights?companyId=3908458,http://www.whitelightdesign.com,Greater Atlanta Area,Design,2 employees on LinkedIn,3908458
Studio Weber and Associates,https://www.linkedin.com/sales/accounts/insights?companyId=2985238,http://studioweber.net,Greater Minneapolis-St. Paul Area,Design,3 employees on LinkedIn,2985238
Studio Murmur,https://www.linkedin.com/sales/accounts/insights?companyId=1726906,http://www.studiomurmur.net,United States,Design,1 employees on LinkedIn,1726906
KDS Group - Kreato Design Studio,https://www.linkedin.com/sales/accounts/insights?companyId=10531355,http://www.kdsgroup.us,San Francisco Bay Area,Design,3 employees on LinkedIn,10531355
Polivka Logan,https://www.linkedin.com/sales/accounts/insights?companyId=2927655,http://www.logicpd.com,Greater Minneapolis-St. Paul Area,Design,0 employees on LinkedIn,2927655
Schwae Design,https://www.linkedin.com/sales/accounts/insights?companyId=360178,http://www.schwaedesign.com,"Cleveland/Akron, Ohio Area",Design,0 employees on LinkedIn,360178
ICS Chillers,https://www.linkedin.com/sales/accounts/insights?companyId=3790843,http://www.icschillers.com/,,Mechanical or Industrial Engineering,1 employees on LinkedIn,3790843
NRGXP,https://www.linkedin.com/sales/accounts/insights?companyId=5237057,http://www.nrgxp.com,"Rochester, New YorkArea",Design,7 employees on LinkedIn,5237057
Mede Technologies,https://www.linkedin.com/sales/accounts/insights?companyId=254689,http://www.mede-tech.com,"Raleigh-Durham, North Carolina Area",Mechanical or Industrial Engineering,4 employees on LinkedIn,254689
Icon Air,https://www.linkedin.com/sales/accounts/insights?companyId=4382378,http://www.iconaircraft.com/,"Cleveland/Akron, Ohio Area",Design,9 employees on LinkedIn,4382378
Bike Lab,https://www.linkedin.com/sales/accounts/insights?companyId=2307072,http://www.bicyclelaboratory.org,,Design,4 employees on LinkedIn,2307072
G K Design,https://www.linkedin.com/sales/accounts/insights?companyId=8566967,http://www.gk-design.co.jp/english.html,,Design,13 employees on LinkedIn,8566967
Fresco Design,https://www.linkedin.com/sales/accounts/insights?companyId=18595582,http://www.fresco-design.com,Greater Boston Area,Design,3 employees on LinkedIn,18595582
Mitchell Design Solutions Inc,https://www.linkedin.com/sales/accounts/insights?companyId=747153,http://mitchelldesignsolutions.com,Greater Los Angeles Area,Design,1 employees on LinkedIn,747153
Exciting Inc,https://www.linkedin.com/sales/accounts/insights?companyId=1497998,http://excitinginc.com,WashingtonD.C. Metro Area,Design,2 employees on LinkedIn,1497998
Ricchio Design,https://www.linkedin.com/sales/accounts/insights?companyId=10369579,http://ricchiodesign.com,United States,Design,3 employees on LinkedIn,10369579
Synergy Art and Design,https://www.linkedin.com/sales/accounts/insights?companyId=561845,http://www.synergyartanddesign.com,Greater Los Angeles Area,Design,4 employees on LinkedIn,561845
Inventures,https://www.linkedin.com/sales/accounts/insights?companyId=18340406,http://www.iancoatsmaccoll.com,SanFrancisco Bay Area,Design,0 employees on LinkedIn,18340406
"Famiano Design Group, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2764123,http://fdg-ws.com,"Greensboro/Winston-Salem, North Carolina Area",Design,1 employees on LinkedIn,2764123
"Keck-Craig, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=443094,http://www.keckcraig.com,Greater Los Angeles Area,Design,8 employees on LinkedIn,443094
KeepHuman,https://www.linkedin.com/sales/accounts/insights?companyId=3551388,http://keephuman.com,Greater Salt Lake City Area,Design,1 employees on LinkedIn,3551388
"Designspring, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=3298486,http://www.designspring.com,Greater New York City Area,Design,6 employees on LinkedIn,3298486
