id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
161,Wolfgang Puck Catering,https://www.linkedin.com/sales/accounts/insights?companyId=22077,http://www.wolfgangpuckcatering.com,Greater Los Angeles Area,Food,1001-5000,636 employees on LinkedIn,22077
162,Coca-Cola Beverages Florida,https://www.linkedin.com/sales/accounts/insights?companyId=10001423,http://cocacolaflorida.com/,"Tampa/St. Petersburg, Florida Area",Food,1001-5000,917 employees on LinkedIn,10001423
163,Fooda,https://www.linkedin.com/sales/accounts/insights?companyId=1712945,http://www.fooda.com,Greater Chicago Area,Food,201-500,247 employees on LinkedIn,1712945
164,New Seasons Market,https://www.linkedin.com/sales/accounts/insights?companyId=56350,http://www.newseasonsmarket.com,"Portland, Oregon Area",Food,1001-5000,"1,020 employees on LinkedIn",56350
165,Johnson Outdoors,https://www.linkedin.com/sales/accounts/insights?companyId=22639,http://www.johnsonoutdoors.com,United States,Sporting Goods,1001-5000,723 employees on LinkedIn,22639
166,Cricut,https://www.linkedin.com/sales/accounts/insights?companyId=30065,http://www.Cricut.com,Greater Salt Lake City Area,Consumer Electronics,201-500,314 employees on LinkedIn,30065
167,VTech,https://www.linkedin.com/sales/accounts/insights?companyId=10520,http://www.vtech.com,"Portland, Oregon Area",Consumer Electronics,10001,"1,601 employees on LinkedIn",10520
168,Sprinkles Cupcakes,https://www.linkedin.com/sales/accounts/insights?companyId=1208202,http://www.sprinkles.com,Greater Los Angeles Area,Food,501-1000,209 employees on LinkedIn,1208202
169,Sling Media,https://www.linkedin.com/sales/accounts/insights?companyId=13913,http://www.slingbox.com,San Francisco Bay Area,Consumer Electronics,201-500,311 employees on LinkedIn,13913
170,Manitowoc Foodservice,https://www.linkedin.com/sales/accounts/insights?companyId=1300185,http://www.MTWFS.com,"Tampa/St. Petersburg, Florida Area",Food,5001-10000,498 employees on LinkedIn,1300185
171,National Beverage Corp,https://www.linkedin.com/sales/accounts/insights?companyId=92841,http://www.nationalbeverage.com/home.htm,Miami/Fort Lauderdale Area,Food,1001-5000,199 employees on LinkedIn,92841
172,"ZAGG, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=401948,http://www.zagg.com,Greater Salt Lake City Area,Consumer Electronics,201-500,467 employees on LinkedIn,401948
173,Asahi,https://www.linkedin.com/sales/accounts/insights?companyId=637844,http://www.asahibeerusa.com,Greater Los Angeles Area,Food,10001,362 employees on LinkedIn,637844
174,B,https://www.linkedin.com/sales/accounts/insights?companyId=61953,http://www.bgfoods.com,Greater New York City Area,Food,1001-5000,571 employees on LinkedIn,61953
175,Plated,https://www.linkedin.com/sales/accounts/insights?companyId=2893307,http://www.plated.com,Greater New York City Area,Food,501-1000,259 employees on LinkedIn,2893307
176,Ben E. Keith Foods,https://www.linkedin.com/sales/accounts/insights?companyId=54319,http://www.benekeith.com/food,Dallas/Fort Worth Area,Food,1001-5000,"1,173 employees on LinkedIn",54319
177,,https://www.linkedin.com/sales/accounts/insights?companyId=6403896,http://www.andpizza.com,United States,Food,201-500,141 employees on LinkedIn,6403896
178,MARS DRINKS,https://www.linkedin.com/sales/accounts/insights?companyId=3341849,http://marsdrinks.com/,Greater Philadelphia Area,Food,501-1000,384 employees on LinkedIn,3341849
179,Waypoint,https://www.linkedin.com/sales/accounts/insights?companyId=2522470,http://www.asmwaypoint.com,"Tampa/St. Petersburg, Florida Area",Food,1001-5000,941 employees on LinkedIn,2522470
